,,,,,,POPULARITY,,INTELLIGENCE (TRAINABILITY),,,,,LONGEVITY,,,GENETIC DISEASES,,,,CUTENESS,,LIFETIME COST,PURCHASE PRICE,,,,FOOD COSTS,,,,,OTHER REGULAR COSTS,,,,,,,,ONE OFFS,,OTHER,,,SIZE ,,,,,,,,,
Dog breed,,exclude?,,category,,"popularity ranking (1-173, 1 = most popular)",,intelligence ranking,intelligence category,repetitions to understand new commands,obey first command (% of time),,life expectancy (years),survey sample size,,congenital ailments: summary / areas affected,No.,congenital ailments: detail,,cuteness rating (adults),,"total lifetime cost, $",average price (US $),price bracket,lowest (US$),highest (US$),"food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $",,grooming required,suitability for children,,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),,note,source,link,
,,X = exclude,,American Kennel Club group,,"US. American Kennel Club registrations 2011, pure breeds only",,,,,,,weighted average - see note,<20 = not trustworthy,,only serious + common for breed,serious only,only serious + common for breed,,6 = super cute. 1 = not at all cute. subjective!,,,"mean, from puppyfind.com",,,,,,,converted to US $ using Google Finance,food per week x 52.1775 x average lifespan (column N),"if no average lifespan data, then 'no data'",converted to US $ using Google Finance,,averaged across all dog breeds. pet food excluded as calculated separately (see food costs),,,,,"Initial outlay: leash, collar, ID tag; food dishes; crate & bedding; toys and chews.",,once every.. (day / week),"high, medium, low",,,"mean of 'ideal' range for breed, mean of dogs and bitches",,,,,"popularity ranking: some breeds not included. intelligence ranking: some rank spots have multiple breeds. longevity is weighted average (mean) of several sources. price is mean price, first 10 puppies/breed, puppyfind.com 11-13 July 2012.",,,
Bull Terrier,,,,terrier,,51,,66,Fair,40-80,>30,,10.21,225,,"heart problems, zinc metabolism disorder",2,"lethal acrodermatitis, Mitral valve dysplasia",,1,,"15,681","1,085",mid-price,300,1750,5.75,4,7.5,7.48,"3,984","10,412","1,020",784,121,126,244,177,116,200,,week,medium,,medium,27,60,55,21.5,,,,,
Bulldog,,,,non-sporting,,6,,78,Lowest,80-100,<25,,6.29,197,,"breathing, hip, heart problems, 'dry eye'",5,"brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",,1,,"11,749","2,680",high-end,1500,5500,5.75,4,7.5,7.48,"2,455","6,414","1,020",784,121,126,244,177,116,200,,week,medium,,medium,20,45,no data,no data,,English bulldog,,,
Bullmastiff,,,,working,,40,,69,Fair,40-80,>30,,7.57,103,,"eye, hip problems",2,"Entropion, Hip dysplasia",,4,,"11,853",980,mid-price,600,1600,5.75,4,7.5,7.48,"2,954","7,719","1,020",784,121,126,244,177,116,200,,week,high,,large,52,115,65,25.5,,,,,
Cairn Terrier,,,,terrier,,59,,35,Above average,15-25,>70,,13.84,156,,"'lion jaw', heart problems  ",2,"Craniomandibular osteopathy (""lion jaw""), Mitral valve dysplasia",,4,,"18,505",435,budget,300,600,4,4,4,5.2,"3,757","14,113","1,020",784,121,126,244,177,116,200,,week,high,,small,6,14,25,10,,,,,
Canaan Dog,,,,herding,,168,,no data,no data,no data,no data,,14.67,2,,none,0,none,,3,,no data,"2,012",high-end,no data,no data,5.75,4,7.5,7.48,"5,725","14,960","1,020",784,121,126,244,177,116,200,,week,high,,medium,20,45,55,21.5,,,,,
Cane Corso,,,,working,,67,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,1,,no data,"1,070",mid-price,900,1500,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,64,25,,,,,
Cardigan Welsh Corgi,,,,herding,,81,,26,Excellent,15-May,>85,,12.7,53,,none,0,none,,4,,no data,828,mid-price,395,1085,no data,no data,no data,no data,no data,"12,951","1,020",784,121,126,244,177,116,200,,-,-,,small,14,31.5,29,11.5,,,,,
Cavalier King Charles Spaniel,,,,toy,,21,,44,Average,25-40,>50,,11.29,829,,"heart, spinal problems",2,"Mitral valve dysplasia, Chiari-like malformation (CM) and syringomyelia (SM)",,5,,"15,794","1,017",mid-price,100,1800,4,4,4,5.2,"3,065","11,513","1,020",784,121,126,244,177,116,200,,week,high,,small,7,15.5,32,12.5,,,,,
Cesky Terrier,,,,terrier,,106,,no data,no data,no data,no data,,8.42,9,,no data,no data,no data,,2,,no data,no data,no data,no data,no data,5.75,4,7.5,7.48,"3,286","8,586","1,020",784,121,126,244,177,116,200,,week,high,,small,9,19,29,11.5,,,,,
Chesapeake Bay Retriever,,,,sporting,,46,,27,Above average,15-25,>70,,9.48,776,,hip problems,1,hip dysplasia,,3,,"14,089",522,budget,175,795,5.75,4,7.5,7.48,"3,699","9,667","1,020",784,121,126,244,177,116,200,,week,high,,large,31,67.5,60,23.5,,,,,
Chihuahua,,,,toy,,14,,67,Fair,40-80,>30,,no data,-,,knee problems,1,Patellar luxation,,6,,no data,588,budget,200,1500,4,4,4,5.2,no data,no data,"1,020",784,121,126,244,177,116,200,,week,low,,small,2,5.5,no data,no data,,weight should not exceed 6 pounds,,,
Chinese Crested,,,,toy,,61,,61,Fair,40-80,>30,,10.08,829,,no data,no data,no data,,2,,no data,538,budget,125,1300,no data,no data,no data,no data,no data,"10,279","1,020",784,121,126,244,177,116,200,,-,-,,small,no data,no data,30,12,,,,,
Chinese Shar Pei,,,,non-sporting,,50,,51,Average,25-40,>50,,no data,-,,"canine hay fever, skin, eye, hip problems",4,"Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",,4,,no data,840,mid-price,350,2000,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,24,52.5,48,19,,,,,
Chow Chow,,,,non-sporting,,68,,77,Lowest,80-100,<25,,9.01,38,,"eye, hip problems",2,"Entropion, Hip dysplasia",,5,,"13,419",515,budget,200,750,5.75,4,7.5,7.48,"3,516","9,188","1,020",784,121,126,244,177,116,200,,day,medium,,medium,no data,no data,47,18.5,,,,,
Clumber Spaniel,,,,sporting,,133,,37,Above average,15-25,>70,,10,301,,none,0,none,,2,,"15,333","1,033",mid-price,800,1500,5.75,4,7.5,7.48,"3,902","10,197","1,020",784,121,126,244,177,116,200,,week,high,,medium,32,70,47,18.5,,,,,
Cocker Spaniel,,,,sporting,,27,,20,Excellent,15-May,>85,,no data,-,,"eye, skin problems",2,"Retinal dysplasia, seborrhea",,5,,no data,465,budget,250,800,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,small,no data,no data,37,14.5,,American cocker spaniel,,,
Collie,,,,herding,,36,,16,Excellent,15-May,>85,,no data,-,,"eye, skin and muscle disorders",2,"Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",,3,,no data,650,budget,350,950,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,28,62.5,61,24,,,,,
Curly Coated Retriever,,,,sporting,,154,,41,Average,25-40,>50,,10.75,40,,none,0,none,,3,,no data,no data,no data,no data,no data,8.75,7.5,10,11.38,"6,384","10,962","1,020",784,121,126,244,177,116,200,,week,medium,,large,no data,no data,64,25,,,,,
Dachshund,,,,hound,,9,,49,Average,25-40,>50,,12.63,265,,"skin, spinal problems",2,"acanthosis nigricans, Intervertebral disk disease",,4,,"16,930",423,budget,125,750,4,4,4,5.2,"3,429","12,879","1,020",784,121,126,244,177,116,200,,week,low,,small,11,24,no data,no data,,,,,
Dalmatian,,,,non-sporting,,73,,39,Above average,15-25,>70,,11.27,404,,"deafness, urinary stones",2,"Deafness, Urolithiasis (stones)",,4,,"16,785",695,budget,350,1000,5.75,4,7.5,7.48,"4,398","11,492","1,020",784,121,126,244,177,116,200,,week,high,,medium,no data,no data,53,21,,,,,
Dandie Dinmont Terrier,,,,terrier,,160,,62,Fair,40-80,>30,,12.17,62,,none,0,none,,5,,"18,284",925,mid-price,850,1000,5.75,4,7.5,7.48,"4,749","12,410","1,020",784,121,126,244,177,116,200,,day,high,,small,10,21,23,9,,Only 2 for sale,,,
Doberman Pinscher,,,,working,,13,,5,Brightest,<5,>95,,10.33,201,,"heart, spine, blood clotting disorders",4,"Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Intervertebral disk disease, von Willebrand's disease",,2,,"15,554",790,mid-price,300,1200,5.75,4,7.5,7.48,"4,031","10,534","1,020",784,121,126,244,177,116,200,,week,medium,,large,no data,no data,66,26,,,,,
English Cocker Spaniel,,,,sporting,,63,,18,Excellent,15-May,>85,,11.66,1199,,none,0,none,,5,,"16,055",800,mid-price,600,1000,4,4,4,5.2,"3,165","11,890","1,020",784,121,126,244,177,116,200,,week,high,,medium,14,30,41,16,,,,,
English Foxhound,,,,hound,,171,,46,Average,25-40,>50,,no data,-,,none,0,none,,3,,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,large,no data,no data,61,24,,,,,
English Setter,,,,sporting,,87,,37,Above average,15-25,>70,,11.57,402,,"deafness, hip problems",2,"deafness, hip dysplasia",,3,,"17,128",615,budget,250,1000,5.75,4,7.5,7.48,"4,515","11,798","1,020",784,121,126,244,177,116,200,,week,high,,large,no data,no data,62,24.5,,,,,
English Springer Spaniel,,,,sporting,,29,,13,Excellent,15-May,>85,,12.54,194,,"hip, eye, skin problems; enzyme deficiency",4,"Hip dysplasia, Phosphofructokinase (PFK) deficiency, Retinal dysplasia, seborrhea",,4,,"18,496",615,budget,450,1500,5.75,4,7.5,7.48,"4,894","12,788","1,020",784,121,126,244,177,116,200,,week,high,,medium,20,45,50,19.5,,,,,
English Toy Spaniel,,,,toy,,129,,45,Average,25-40,>50,,10.1,22,,none,0,none,,5,,no data,925,mid-price,150,1500,no data,no data,no data,no data,no data,"10,299","1,020",784,121,126,244,177,116,200,,-,-,,small,5,11,no data,no data,,,,,
Entlebucher Mountain Dog,,,,herding,,146,,no data,no data,no data,no data,,no data,-,,no data,no data,no data,,3,,no data,"1,167",mid-price,"1,000","1,300",no data,no data,no data,no data,no data,no data,"1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,47,18.5,,3 dogs for sale only,,,
Field Spaniel,,,,sporting,,141,,34,Above average,15-25,>70,,9.9,139,,none,0,none,,5,,no data,no data,no data,no data,no data,5.75,4,7.5,7.48,"3,863","10,095","1,020",784,121,126,244,177,116,200,,day,medium,,medium,no data,no data,44,17.5,,,,,
Finnish Lapphund,,,,herding,,104,,no data,no data,no data,no data,,7.33,5,,no data,no data,no data,,3,,no data,no data,no data,no data,no data,5.75,4,7.5,7.48,"2,860","7,475","1,020",784,121,126,244,177,116,200,,day,high,,medium,no data,no data,47,18.5,,,,,
Finnish Spitz,,,,non-sporting,,167,,43,Average,25-40,>50,,11.17,42,,none,0,none,,3,,no data,no data,no data,no data,no data,5.75,4,7.5,7.48,"4,359","11,390","1,020",784,121,126,244,177,116,200,,week,high,,medium,no data,no data,45,17.75,,,,,
Flat-Coated Retriever,,,,sporting,,90,,18,Excellent,15-May,>85,,9.02,1198,,none,0,none,,4,,"13,518",600,budget,300,1200,5.75,4,7.5,7.48,"3,520","9,198","1,020",784,121,126,244,177,116,200,,day,high,,medium,no data,no data,59,23.25,,Price: 3 dogs only,,,
French Bulldog,,,,non-sporting,,18,,58,Fair,40-80,>30,,9,71,,none,0,none,,1,,"14,790","1,900",high-end,1300,3500,5.75,4,7.5,7.48,"3,512","9,178","1,020",784,121,126,244,177,116,200,,week,high,,medium,12,27,no data,no data,,must weigh 28 pounds or less,,,
German Pinscher,,,,working,,137,,no data,no data,no data,no data,,11.42,24,,no data,no data,no data,,2,,no data,"1,500",high-end,1500,1500,no data,no data,no data,no data,no data,"11,645","1,020",784,121,126,244,177,116,200,,-,-,,medium,no data,no data,47,18.5,,only one dog for sale,,,
